"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"
420.41	82.142	420.41	79.603	420.41	81.3129	420.41	80.5787	420.41	78.4187	420.41	80.7119
435.059	81.3226	435.059	79.1201	435.059	80.7213	435.059	80.1131	435.059	78.3743	435.059	80.1815
450.439	81.5578	450.439	78.8323	450.439	80.9389	450.439	79.9399	450.439	78.4048	450.439	80.1986
466.553	81.526	466.553	78.6915	466.553	80.8823	466.553	79.7279	466.553	78.3688	466.553	80.0848
482.666	81.666	482.666	78.838	482.666	81.0158	482.666	79.5712	482.666	77.8944	482.666	80.0746
500.244	81.4046	500.244	78.6868	500.244	80.6835	500.244	79.3294	500.244	77.6353	500.244	79.8062
517.822	81.0026	517.822	77.9235	517.822	80.4264	517.822	78.6453	517.822	76.8609	517.822	79.3015
536.133	81.3605	536.133	77.8286	536.133	80.8077	536.133	78.829	536.133	76.5297	536.133	79.5313
554.443	81.0857	554.443	77.8009	554.443	80.3522	554.443	78.9311	554.443	76.5803	554.443	79.3595
574.219	81.0939	574.219	77.5926	574.219	80.4544	574.219	78.8596	574.219	76.4586	574.219	79.3475
594.727	81.1228	594.727	77.8692	594.727	80.6314	594.727	78.7632	594.727	76.0723	594.727	79.3824
615.234	81.343	615.234	78.1929	615.234	80.6959	615.234	79.3094	615.234	76.066	615.234	79.6569
637.207	80.8141	637.207	77.72	637.207	80.2417	637.207	79.392	637.207	76.6096	637.207	79.4413
659.912	80.4965	659.912	76.7466	659.912	79.7391	659.912	79.3171	659.912	77.2573	659.912	79.1775
683.35	81.2243	683.35	75.9872	683.35	80.2422	683.35	79.5533	683.35	77.923	683.35	79.5519
706.787	81.9443	706.787	75.1162	706.787	80.4631	706.787	79.345	706.787	78.1829	706.787	79.6579
731.689	81.3225	731.689	71.2797	731.689	78.1783	731.689	76.6995	731.689	75.7324	731.689	77.574
758.057	75.3199	758.057	75.1473	758.057	74.4632	758.057	71.2091	758.057	68.7426	758.057	73.2574
784.424	78.466	784.424	77.8043	784.424	79.3816	784.424	76.363	784.424	73.2521	784.424	77.5967
812.256	79.718	812.256	77.7659	812.256	80.2945	812.256	77.3527	812.256	74.1687	812.256	78.4784
