"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"
1,681.64	79.6496	1,681.64	79.098	1,681.64	77.4021	1,681.64	74.3062	1,681.64	45.7561	1,681.64	42.6601	1,681.64	40.9643
1,740.97	79.2893	1,740.97	78.7603	1,740.97	76.8895	1,740.97	73.5804	1,740.97	46.1441	1,740.97	42.835	1,740.97	40.9643
1,802.49	80.2502	1,802.49	79.6387	1,802.49	77.0558	1,802.49	73.0562	1,802.49	47.5468	1,802.49	43.5472	1,802.49	40.9643
1,866.21	80.7005	1,866.21	80.0334	1,866.21	77.1088	1,866.21	72.7753	1,866.21	48.2224	1,866.21	43.8889	1,866.21	40.9643
1,932.13	80.4114	1,932.13	79.8109	1,932.13	76.8102	1,932.13	72.5795	1,932.13	48.1956	1,932.13	43.965	1,932.13	40.9643
2,000.24	81.2519	2,000.24	80.5492	2,000.24	77.2303	2,000.24	73.1446	2,000.24	48.3689	2,000.24	44.2831	2,000.24	40.9643
2,070.56	82.4415	2,070.56	81.6058	2,070.56	78.04	2,070.56	73.8853	2,070.56	48.6848	2,070.56	44.5301	2,070.56	40.9643
2,143.8	82.408	2,143.8	81.6139	2,143.8	78.0002	2,143.8	74.0083	2,143.8	48.5699	2,143.8	44.5779	2,143.8	40.9643
2,219.24	82.0774	2,219.24	81.2089	2,219.24	77.6967	2,219.24	74.0754	2,219.24	48.0977	2,219.24	44.4764	2,219.24	40.9643
2,297.61	82.9626	2,297.61	81.9546	2,297.61	78.3744	2,297.61	74.7852	2,297.61	48.1337	2,297.61	44.5444	2,297.61	40.9643
2,378.17	83.3428	2,378.17	82.3773	2,378.17	78.8194	2,378.17	75.1327	2,378.17	48.2089	2,378.17	44.5222	2,378.17	40.9643
2,462.4	82.85	2,462.4	81.9111	2,462.4	78.3984	2,462.4	74.8245	2,462.4	48.0509	2,462.4	44.477	2,462.4	40.9643
2,548.83	82.3563	2,548.83	81.3689	2,548.83	77.9916	2,548.83	74.3696	2,548.83	47.9635	2,548.83	44.3415	2,548.83	40.9643
2,638.92	81.6321	2,638.92	80.8314	2,638.92	77.5054	2,638.92	73.9168	2,638.92	47.8789	2,638.92	44.2902	2,638.92	40.9643
2,731.93	81.1007	2,731.93	80.3805	2,731.93	77.0873	2,731.93	73.522	2,731.93	47.8228	2,731.93	44.2575	2,731.93	40.9643
2,828.61	81.4597	2,828.61	80.5422	2,828.61	77.2156	2,828.61	73.4604	2,828.61	48.0461	2,828.61	44.2909	2,828.61	40.9643
2,928.22	81.5155	2,928.22	80.5976	2,928.22	77.3972	2,928.22	73.6753	2,928.22	47.8866	2,928.22	44.1647	2,928.22	40.9643
3,031.49	80.9379	3,031.49	80.2373	3,031.49	77.1418	3,031.49	73.6778	3,031.49	47.5238	3,031.49	44.0598	3,031.49	40.9643
3,138.43	81.1407	3,138.43	80.4349	3,138.43	77.4184	3,138.43	74.0483	3,138.43	47.3509	3,138.43	43.9808	3,138.43	40.9643
3,249.02	80.7841	3,249.02	80.2199	3,249.02	77.4345	3,249.02	74.1905	3,249.02	46.9936	3,249.02	43.7496	3,249.02	40.9643
3,363.28	79.9886	3,363.28	79.7895	3,363.28	77.2585	3,363.28	74.0798	3,363.28	46.6739	3,363.28	43.4953	3,363.28	40.9643
3,481.93	80.6194	3,481.93	80.3211	3,481.93	77.8706	3,481.93	74.3998	3,481.93	46.8857	3,481.93	43.4148	3,481.93	40.9643
3,604.98	80.7769	3,604.98	80.5451	3,604.98	78.18	3,604.98	74.5462	3,604.98	46.9631	3,604.98	43.3294	3,604.98	40.9643
3,732.42	81.115	3,732.42	80.8685	3,732.42	78.4124	3,732.42	74.5772	3,732.42	47.2555	3,732.42	43.4204	3,732.42	40.9643
3,863.53	81.866	3,863.53	81.432	3,863.53	78.6999	3,863.53	74.7051	3,863.53	47.6912	3,863.53	43.6964	3,863.53	40.9643
3,999.76	81.9847	3,999.76	81.4758	3,999.76	78.6357	3,999.76	74.6762	3,999.76	47.7639	3,999.76	43.8044	3,999.76	40.9643
4,141.11	81.9431	4,141.11	81.2404	4,141.11	78.3625	4,141.11	74.3667	4,141.11	47.838	4,141.11	43.8422	4,141.11	40.9643
4,286.87	81.8357	4,286.87	81.3069	4,286.87	78.3151	4,286.87	74.3688	4,286.87	47.9024	4,286.87	43.9561	4,286.87	40.9643
4,438.48	81.3488	4,438.48	80.9975	4,438.48	77.9495	4,438.48	73.9412	4,438.48	48.0206	4,438.48	44.0123	4,438.48	40.9643
4,594.48	81.4021	4,594.48	81.0862	4,594.48	77.6974	4,594.48	73.6591	4,594.48	48.3913	4,594.48	44.353	4,594.48	40.9643
4,757.08	81.1437	4,757.08	81.0268	4,757.08	77.6219	4,757.08	73.5773	4,757.08	48.4137	4,757.08	44.3692	4,757.08	40.9643
4,924.8	81.0604	4,924.8	80.8877	4,924.8	77.4758	4,924.8	73.4686	4,924.8	48.3834	4,924.8	44.3762	4,924.8	40.9643
5,098.39	80.618	5,098.39	80.6421	5,098.39	77.313	5,098.39	73.4326	5,098.39	48.1738	5,098.39	44.2934	5,098.39	40.9643
5,277.83	80.2527	5,277.83	80.4464	5,277.83	77.311	5,277.83	73.3177	5,277.83	48.093	5,277.83	44.0997	5,277.83	40.9643
5,463.87	81.4861	5,463.87	81.342	5,463.87	78.152	5,463.87	73.9175	5,463.87	48.3888	5,463.87	44.1542	5,463.87	40.9643
5,656.49	81.5926	5,656.49	81.4351	5,656.49	78.3905	5,656.49	74.1723	5,656.49	48.2271	5,656.49	44.0089	5,656.49	40.9643
5,856.45	81.7246	5,856.45	81.6202	5,856.45	78.6372	5,856.45	74.3803	5,856.45	48.2042	5,856.45	43.9472	5,856.45	40.9643
6,062.99	82.1643	6,062.99	81.6505	6,062.99	78.6126	6,062.99	74.2393	6,062.99	48.3755	6,062.99	44.0022	6,062.99	40.9643
6,276.86	82.5389	6,276.86	81.9	6,276.86	78.7556	6,276.86	74.2741	6,276.86	48.5902	6,276.86	44.1087	6,276.86	40.9643
6,498.05	82.5389	6,498.05	81.9232	6,498.05	78.8284	6,498.05	74.3807	6,498.05	48.5068	6,498.05	44.0591	6,498.05	40.9643
6,727.29	82.6242	6,727.29	82.1143	6,727.29	79.0436	6,727.29	74.6328	6,727.29	48.4458	6,727.29	44.0349	6,727.29	40.9643
6,964.6	82.6315	6,964.6	82.198	6,964.6	79.2304	6,964.6	74.9022	6,964.6	48.26	6,964.6	43.9319	6,964.6	40.9643
7,209.96	82.4716	7,209.96	82.0306	7,209.96	79.121	7,209.96	74.868	7,209.96	48.1269	7,209.96	43.8738	7,209.96	40.9643
7,464.11	82.04	7,464.11	81.587	7,464.11	78.7651	7,464.11	74.5978	7,464.11	47.9535	7,464.11	43.7861	7,464.11	40.9643
7,727.78	81.2385	7,727.78	81.0159	7,727.78	78.3267	7,727.78	74.1762	7,727.78	47.804	7,727.78	43.6535	7,727.78	40.9643
8,000.24	81.1356	8,000.24	80.9059	8,000.24	78.1717	8,000.24	73.8402	8,000.24	48.03	8,000.24	43.6985	8,000.24	40.9643
8,282.23	81.3571	8,282.23	80.9307	8,282.23	78.094	8,282.23	73.6386	8,282.23	48.2564	8,282.23	43.801	8,282.23	40.9643
8,574.46	80.9526	8,574.46	80.785	8,574.46	78.1321	8,574.46	73.7485	8,574.46	48.0007	8,574.46	43.6171	8,574.46	40.9643
8,876.22	80.7731	8,876.22	80.5968	8,876.22	77.9902	8,876.22	73.5031	8,876.22	48.058	8,876.22	43.5709	8,876.22	40.9643
9,189.7	79.8552	9,189.7	79.7213	9,189.7	77.1452	9,189.7	72.6767	9,189.7	48.0089	9,189.7	43.5404	9,189.7	40.9643
9,513.43	78.8586	9,513.43	78.8449	9,513.43	76.2217	9,513.43	71.8256	9,513.43	47.9836	9,513.43	43.5875	9,513.43	40.9643
9,848.88	78.3095	9,848.88	78.2904	9,848.88	75.5067	9,848.88	71.087	9,848.88	48.1677	9,848.88	43.748	9,848.88	40.9643
