"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
2,297.61	87.1122	2,297.61	86.0262	2,297.61	81.9989	2,297.61	77.0066	2,297.61	48.999	2,297.61	44.0067	2,297.61	39.9794
2,378.17	88.8152	2,378.17	87.4861	2,378.17	83.151	2,378.17	77.8541	2,378.17	49.6115	2,378.17	44.3145	2,378.17	39.9794
2,462.4	88.4607	2,462.4	87.336	2,462.4	83.0822	2,462.4	78.0303	2,462.4	49.2851	2,462.4	44.2331	2,462.4	39.9794
2,548.83	87.9227	2,548.83	86.7064	2,548.83	82.5835	2,548.83	77.6089	2,548.83	49.0769	2,548.83	44.1023	2,548.83	39.9794
2,638.92	87.5391	2,638.92	86.2038	2,638.92	82.2002	2,638.92	77.3973	2,638.92	48.7859	2,638.92	43.983	2,638.92	39.9794
2,731.93	86.7706	2,731.93	85.4614	2,731.93	81.781	2,731.93	77.1006	2,731.93	48.3403	2,731.93	43.6599	2,731.93	39.9794
2,828.61	86.3871	2,828.61	85.0069	2,828.61	81.7275	2,828.61	77.2269	2,828.61	47.7594	2,828.61	43.2588	2,828.61	39.9794
2,928.22	85.8385	2,928.22	84.3508	2,928.22	81.5789	2,928.22	77.2073	2,928.22	47.1229	2,928.22	42.7513	2,928.22	39.9794
3,031.49	84.3735	3,031.49	83.1265	3,031.49	81.1038	3,031.49	76.9219	3,031.49	46.184	3,031.49	42.0021	3,031.49	39.9794
3,138.43	84.5815	3,138.43	83.3891	3,138.43	81.3774	3,138.43	77.1044	3,138.43	46.2641	3,138.43	41.9911	3,138.43	39.9794
3,249.02	84.7664	3,249.02	83.6561	3,249.02	81.6118	3,249.02	77.5353	3,249.02	46.1002	3,249.02	42.0237	3,249.02	39.9794
3,363.28	84.9323	3,363.28	83.8326	3,363.28	81.7551	3,363.28	77.8822	3,363.28	45.9298	3,363.28	42.0569	3,363.28	39.9794
3,481.93	85.0464	3,481.93	83.9289	3,481.93	82.0809	3,481.93	78.2925	3,481.93	45.6159	3,481.93	41.8275	3,481.93	39.9794
3,604.98	85.1234	3,604.98	84.1297	3,604.98	82.5279	3,604.98	78.6799	3,604.98	45.4292	3,604.98	41.5812	3,604.98	39.9794
3,732.42	84.2253	3,732.42	83.3959	3,732.42	82.2221	3,732.42	78.4791	3,732.42	44.8962	3,732.42	41.1532	3,732.42	39.9794
3,863.53	84.328	3,863.53	83.385	3,863.53	82.254	3,863.53	78.4797	3,863.53	44.8848	3,863.53	41.1104	3,863.53	39.9794
3,999.76	84.5778	3,999.76	83.485	3,999.76	82.1506	3,999.76	78.395	3,999.76	45.0694	3,999.76	41.3138	3,999.76	39.9794
4,141.11	84.2403	4,141.11	83.4723	4,141.11	82.0812	4,141.11	78.3162	4,141.11	45.1355	4,141.11	41.3705	4,141.11	39.9794
4,286.87	84.6983	4,286.87	83.9053	4,286.87	82.3709	4,286.87	78.5595	4,286.87	45.3252	4,286.87	41.5137	4,286.87	39.9794
4,438.48	84.3397	4,438.48	84.0512	4,438.48	82.481	4,438.48	78.7109	4,438.48	45.3197	4,438.48	41.5496	4,438.48	39.9794
4,594.48	84.5772	4,594.48	84.0831	4,594.48	82.5015	4,594.48	78.742	4,594.48	45.3206	4,594.48	41.5611	4,594.48	39.9794
4,757.08	84.4697	4,757.08	84.1799	4,757.08	82.5673	4,757.08	78.8618	4,757.08	45.2974	4,757.08	41.592	4,757.08	39.9794
4,924.8	84.6	4,924.8	84.3347	4,924.8	82.5048	4,924.8	78.7321	4,924.8	45.582	4,924.8	41.8093	4,924.8	39.9794
5,098.39	84.5539	5,098.39	84.2236	5,098.39	82.3957	5,098.39	78.5711	5,098.39	45.6319	5,098.39	41.8073	5,098.39	39.9794
5,277.83	84.3848	5,277.83	84.1072	5,277.83	82.0633	5,277.83	78.2142	5,277.83	45.8724	5,277.83	42.0233	5,277.83	39.9794
5,463.87	84.3747	5,463.87	83.7812	5,463.87	81.6418	5,463.87	77.7636	5,463.87	45.997	5,463.87	42.1188	5,463.87	39.9794
