"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
4,924.8	84.4148	4,924.8	81.4764	4,924.8	68.8998	4,924.8	79.8614
5,098.39	84.3846	5,098.39	81.521	5,098.39	68.5673	5,098.39	79.8492
5,277.83	84.2009	5,277.83	80.9908	5,277.83	67.7535	5,277.83	79.5035
5,463.87	83.8198	5,463.87	80.3782	5,463.87	67.9697	5,463.87	79.0563
5,656.49	83.2008	5,656.49	80.1165	5,656.49	66.7756	5,656.49	78.5539
5,856.45	83.3886	5,856.45	79.4797	5,856.45	66.3665	5,856.45	78.4108
6,062.99	84.1513	6,062.99	79.4688	6,062.99	66.0655	6,062.99	78.8811
6,276.86	84.7489	6,276.86	80.0304	6,276.86	66.4676	6,276.86	79.462
6,498.05	84.9862	6,498.05	80.2395	6,498.05	66.3823	6,498.05	79.6821
6,727.29	85.6104	6,727.29	80.3547	6,727.29	67.189	6,727.29	80.1566
6,964.6	85.5834	6,964.6	80.2367	6,964.6	66.6848	6,964.6	80.0912
7,209.96	85.4371	7,209.96	79.9767	7,209.96	65.9024	7,209.96	79.8982
7,464.11	84.6712	7,464.11	79.3906	7,464.11	65.5408	7,464.11	79.1927
7,727.78	83.5958	7,727.78	78.0016	7,727.78	64.3944	7,727.78	78.0268
8,000.24	83.3073	8,000.24	76.8932	8,000.24	61.8812	8,000.24	77.4849
8,282.23	84.5036	8,282.23	77.4303	8,282.23	61.8529	8,282.23	78.5143
8,574.46	85.6925	8,574.46	78.4489	8,574.46	62.5984	8,574.46	79.662
8,876.22	85.6283	8,876.22	78.1755	8,876.22	62.9852	8,876.22	79.5597
9,189.7	84.5517	9,189.7	77.1845	9,189.7	62.6005	9,189.7	78.5092
9,513.43	83.0727	9,513.43	75.595	9,513.43	62.0618	9,513.43	77.0221
9,848.88	82.7217	9,848.88	74.7125	9,848.88	59.859	9,848.88	76.5438
10,196.8	83.2813	10,196.8	75.097	10,196.8	60.2745	10,196.8	77.0704
10,556.4	83.7374	10,556.4	75.8178	10,556.4	60.4335	10,556.4	77.5713
10,928.5	83.4695	10,928.5	76.2374	10,928.5	60.8671	10,928.5	77.4469
11,313.7	82.7208	11,313.7	76.4298	11,313.7	62.3756	11,313.7	76.9463
11,712.9	81.7723	11,712.9	75.8465	11,712.9	61.557	11,712.9	76.0931
12,126	81.6643	12,126	75.1921	12,126	59.4024	12,126	75.8168
12,553.7	82.3346	12,553.7	75.0031	12,553.7	57.2873	12,553.7	76.2694
12,996.1	82.5408	12,996.1	74.4054	12,996.1	56.0448	12,996.1	76.312
13,454.6	82.1464	13,454.6	73.1066	13,454.6	53.0683	13,454.6	75.7589
13,928.5	81.2558	13,928.5	71.9057	13,928.5	55.2237	13,928.5	74.8356
14,419.9	80.6272	14,419.9	71.8705	14,419.9	56.5233	14,419.9	74.3097
14,928.2	81.127	14,928.2	71.3651	14,928.2	56.6728	14,928.2	74.6619
15,454.8	81.3119	15,454.8	70.2419	15,454.8	56.7072	15,454.8	74.6961
15,999.8	80.5941	15,999.8	70.9283	15,999.8	58.8574	15,999.8	74.1731
16,564.5	82.2755	16,564.5	71.4744	16,564.5	58.3582	16,564.5	75.6935
17,148.2	83.3559	17,148.2	70.5528	17,148.2	58.3083	17,148.2	76.5918
17,753.2	84.2664	17,753.2	69.4733	17,753.2	58.2619	17,753.2	77.3835
18,379.4	83.8602	18,379.4	66.9899	18,379.4	58.37	18,379.4	76.9061
19,027.6	82.4933	19,027.6	63.3901	19,027.6	58.3902	19,027.6	75.5016
19,698.5	82.8054	19,698.5	62.6455	19,698.5	59.4133	19,698.5	75.8057
19,999.5	83.0089	19,999.5	62.5073	19,999.5	59.5099	19,999.5	76.0035
