"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
1,681.64	86.3173	1,681.64	82.8308	1,681.64	85.0359	1,681.64	79.8468	1,681.64	71.0074	1,681.64	82.9223
1,740.97	86.4906	1,740.97	82.6801	1,740.97	85.1632	1,740.97	79.9597	1,740.97	72.2957	1,740.97	83.038
1,802.49	86.0292	1,802.49	82.0667	1,802.49	85.855	1,802.49	80.0615	1,802.49	70.6039	1,802.49	83.1976
1,866.21	85.8822	1,866.21	82.348	1,866.21	84.8819	1,866.21	79.4192	1,866.21	70.5742	1,866.21	82.6087
1,932.13	84.9182	1,932.13	82.0842	1,932.13	84.2985	1,932.13	78.2125	1,932.13	68.6166	1,932.13	81.853
2,000.24	84.7318	2,000.24	81.0565	2,000.24	84.5195	2,000.24	77.697	2,000.24	66.9292	2,000.24	81.7155
2,070.56	84.9414	2,070.56	79.9892	2,070.56	85.3518	2,070.56	78.0603	2,070.56	65.8993	2,070.56	82.1719
2,143.8	84.5331	2,143.8	78.5974	2,143.8	85.1582	2,143.8	77.2176	2,143.8	63.9382	2,143.8	81.7601
2,219.24	84.3271	2,219.24	77.0791	2,219.24	84.6735	2,219.24	76.163	2,219.24	62.5503	2,219.24	81.2129
2,297.61	84.8745	2,297.61	74.385	2,297.61	85.8585	2,297.61	76.1898	2,297.61	59.0079	2,297.61	81.9989
2,378.17	85.5057	2,378.17	72.7535	2,378.17	87.2912	2,378.17	76.9336	2,378.17	60.9169	2,378.17	83.151
2,462.4	85.4737	2,462.4	74.088	2,462.4	87.1222	2,462.4	77.2836	2,462.4	64.5135	2,462.4	83.0822
2,548.83	84.321	2,548.83	73.9999	2,548.83	86.6886	2,548.83	77.4017	2,548.83	65.7448	2,548.83	82.5835
2,638.92	83.0556	2,638.92	75.4262	2,638.92	86.2972	2,638.92	77.8193	2,638.92	66.9351	2,638.92	82.2002
2,731.93	82.0857	2,731.93	77.7458	2,731.93	85.658	2,731.93	78.2114	2,731.93	67.3883	2,731.93	81.781
2,828.61	81.8129	2,828.61	78.8623	2,828.61	85.307	2,828.61	78.9463	2,828.61	68.9383	2,828.61	81.7275
2,928.22	81.9728	2,928.22	80.1266	2,928.22	84.6733	2,928.22	79.4108	2,928.22	70.316	2,928.22	81.5789
3,031.49	82.8946	3,031.49	80.3079	3,031.49	83.4874	3,031.49	79.2768	3,031.49	70.901	3,031.49	81.1038
3,138.43	83.5584	3,138.43	80.0584	3,138.43	83.6836	3,138.43	79.5879	3,138.43	71.3894	3,138.43	81.3774
3,249.02	83.6962	3,249.02	80.7095	3,249.02	83.9346	3,249.02	79.6974	3,249.02	72.0184	3,249.02	81.6118
