"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
3,999.76	102.548	3,999.76	99.6053	3,999.76	104.279	3,999.76	98.822	3,999.76	91.1965	3,999.76	101.279
4,141.11	102.429	4,141.11	99.2416	4,141.11	104.064	4,141.11	99.0021	4,141.11	91.0486	4,141.11	101.157
4,286.87	102.654	4,286.87	98.7104	4,286.87	105.125	4,286.87	100.093	4,286.87	91.2504	4,286.87	101.995
4,438.48	102.716	4,438.48	98.1288	4,438.48	105.321	4,438.48	100.343	4,438.48	92.0607	4,438.48	102.154
4,594.48	102.66	4,594.48	98.1258	4,594.48	106.214	4,594.48	100.23	4,594.48	90.7959	4,594.48	102.632
4,757.08	103.1	4,757.08	97.9027	4,757.08	106.342	4,757.08	99.9726	4,757.08	88.8757	4,757.08	102.689
4,924.8	103.233	4,924.8	97.8146	4,924.8	106.272	4,924.8	99.6586	4,924.8	90.47	4,924.8	102.606
5,098.39	102.951	5,098.39	97.1663	5,098.39	106.227	5,098.39	99.32	5,098.39	89.9472	5,098.39	102.448
5,277.83	102.927	5,277.83	96.044	5,277.83	105.274	5,277.83	98.9104	5,277.83	89.8964	5,277.83	101.732
5,463.87	102.635	5,463.87	94.9698	5,463.87	105.195	5,463.87	98.7206	5,463.87	89.5983	5,463.87	101.569
5,656.49	102.342	5,656.49	94.9381	5,656.49	104.398	5,656.49	98.1133	5,656.49	88.486	5,656.49	100.907
5,856.45	101.813	5,856.45	95.6249	5,856.45	103.866	5,856.45	98.1314	5,856.45	88.7405	5,856.45	100.538
6,062.99	101.618	6,062.99	95.5065	6,062.99	104.271	6,062.99	98.5743	6,062.99	88.0751	6,062.99	100.837
6,276.86	101.734	6,276.86	95.161	6,276.86	105.069	6,276.86	99.0564	6,276.86	87.6131	6,276.86	101.433
6,498.05	101.752	6,498.05	95.0108	6,498.05	104.924	6,498.05	99.1658	6,498.05	87.4981	6,498.05	101.367
6,727.29	101.94	6,727.29	95.4755	6,727.29	105.431	6,727.29	99.3111	6,727.29	85.4405	6,727.29	101.742
6,964.6	102.042	6,964.6	96.5109	6,964.6	105.739	6,964.6	99.1046	6,964.6	86.9887	6,964.6	101.943
7,209.96	102.103	7,209.96	96.6689	7,209.96	105.462	7,209.96	98.6456	7,209.96	86.8414	7,209.96	101.688
7,464.11	101.996	7,464.11	96.7357	7,464.11	104.676	7,464.11	98.1037	7,464.11	86.8712	7,464.11	101.077
7,727.78	101.605	7,727.78	96.8468	7,727.78	103.755	7,727.78	97.2265	7,727.78	85.639	7,727.78	100.291
8,000.24	100.978	8,000.24	96.964	8,000.24	103.599	8,000.24	96.9076	8,000.24	85.0845	8,000.24	100.047
8,282.23	100.394	8,282.23	97.3282	8,282.23	105.063	8,282.23	98.213	8,282.23	85.4003	8,282.23	101.178
8,574.46	100.602	8,574.46	96.8488	8,574.46	106.281	8,574.46	99.3166	8,574.46	86.1462	8,574.46	102.215
8,876.22	101.129	8,876.22	96.4964	8,876.22	106.372	8,876.22	99.2504	8,876.22	86.4229	8,876.22	102.298
